year,borough,total
2019,Total,46981
2019,Bronx,11820
2019,Brooklyn,13024
2019,Manhattan,8738
2019,Queens,11968
2019,Staten Island,1431
2018,Total,46796
2018,Bronx,12035
2018,Brooklyn,12366
2018,Manhattan,9450
2018,Queens,11666
2018,Staten Island,1279
2017,Total,46796
2017,Bronx,12035
2017,Brooklyn,12366
2017,Manhattan,9450
2017,Queens,11666
2017,Staten Island,1279
2016,Total,56607
2016,Bronx,14024
2016,Brooklyn,16610
2016,Manhattan,9919
2016,Queens,13479
2016,Staten Island,2575
2015,Total,58627
2015,Bronx,14992
2015,Brooklyn,18026
2015,Manhattan,10294
2015,Queens,13681
2015,Staten Island,1634
2014,Total,63673
2014,Bronx,16410
2014,Brooklyn,19173
2014,Manhattan,11606
2014,Queens,14682
2014,Staten Island,1802
